Code Domaine,Domaine,Code Pays,Pays,Code Élément,Élément,Code Produit,Produit,Code Année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires","233","Burkina Faso","5142","Nourriture","2733","Viande de Suides","2013","2013","Milliers de tonnes","33","S","Données standardisées"
"FBS","Bilans Alimentaires","233","Burkina Faso","5142","Nourriture","2734","Viande de Volailles","2013","2013","Milliers de tonnes","38","S","Données standardisées"
"FBS","Bilans Alimentaires","233","Burkina Faso","5142","Nourriture","2735","Viande, Autre","2013","2013","Milliers de tonnes","11","S","Données standardisées"
"FBS","Bilans Alimentaires","35","Cabo Verde","5142","Nourriture","2731","Viande de Bovins","2013","2013","Milliers de tonnes","1","S","Données standardisées"
"FBS","Bilans Alimentaires","35","Cabo Verde","5142","Nourriture","2732","Viande d'Ovins/Caprins","2013","2013","Milliers de tonnes","1","S","Données standardisées"
"FBS","Bilans Alimentaires","35","Cabo Verde","5142","Nourriture","2733","Viande de Suides","2013","2013","Milliers de tonnes","6","S","Données standardisées"
"FBS","Bilans Alimentaires","35","Cabo Verde","5142","Nourriture","2734","Viande de Volailles","2013","2013","Milliers de tonnes","9","S","Données standardisées"
"FBS","Bilans Alimentaires","35","Cabo Verde","5142","Nourriture","2735","Viande, Autre","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","115","Cambodge","5142","Nourriture","2731","Viande de Bovins","2013","2013","Milliers de tonnes","73","S","Données standardisées"
"FBS","Bilans Alimentaires","115","Cambodge","5142","Nourriture","2732","Viande d'Ovins/Caprins","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","115","Cambodge","5142","Nourriture","2733","Viande de Suides","2013","2013","Milliers de tonnes","99","S","Données standardisées"
"FBS","Bilans Alimentaires","115","Cambodge","5142","Nourriture","2734","Viande de Volailles","2013","2013","Milliers de tonnes","28","S","Données standardisées"
"FBS","Bilans Alimentaires","115","Cambodge","5142","Nourriture","2735","Viande, Autre","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","32","Cameroun","5142","Nourriture","2731","Viande de Bovins","2013","2013","Milliers de tonnes","93","S","Données standardisées"
"FBS","Bilans Alimentaires","32","Cameroun","5142","Nourriture","2732","Viande d'Ovins/Caprins","2013","2013","Milliers de tonnes","31","S","Données standardisées"
"FBS","Bilans Alimentaires","32","Cameroun","5142","Nourriture","2733","Viande de Suides","2013","2013","Milliers de tonnes","33","S","Données standardisées"
"FBS","Bilans Alimentaires","32","Cameroun","5142","Nourriture","2734","Viande de Volailles","2013","2013","Milliers de tonnes","73","S","Données standardisées"
"FBS","Bilans Alimentaires","32","Cameroun","5142","Nourriture","2735","Viande, Autre","2013","2013","Milliers de tonnes","67","S","Données standardisées"
"FBS","Bilans Alimentaires","33","Canada","5142","Nourriture","2731","Viande de Bovins","2013","2013","Milliers de tonnes","1064","S","Données standardisées"
"FBS","Bilans Alimentaires","33","Canada","5142","Nourriture","2732","Viande d'Ovins/Caprins","2013","2013","Milliers de tonnes","34","S","Données standardisées"
"FBS","Bilans Alimentaires","33","Canada","5142","Nourriture","2733","Viande de Suides","2013","2013","Milliers de tonnes","802","S","Données standardisées"
"FBS","Bilans Alimentaires","33","Canada","5142","Nourriture","2734","Viande de Volailles","2013","2013","Milliers de tonnes","1290","S","Données standardisées"
"FBS","Bilans Alimentaires","33","Canada","5142","Nourriture","2735","Viande, Autre","2013","2013","Milliers de tonnes","2","S","Données standardisées"
"FBS","Bilans Alimentaires","40","Chili","5142","Nourriture","2731","Viande de Bovins","2013","2013","Milliers de tonnes","420","S","Données standardisées"
"FBS","Bilans Alimentaires","40","Chili","5142","Nourriture","2732","Viande d'Ovins/Caprins","2013","2013","Milliers de tonnes","7","S","Données standardisées"
"FBS","Bilans Alimentaires","40","Chili","5142","Nourriture","2733","Viande de Suides","2013","2013","Milliers de tonnes","435","S","Données standardisées"
"FBS","Bilans Alimentaires","40","Chili","5142","Nourriture","2734","Viande de Volailles","2013","2013","Milliers de tonnes","643","S","Données standardisées"
"FBS","Bilans Alimentaires","40","Chili","5142","Nourriture","2735","Viande, Autre","2013","2013","Milliers de tonnes","4","S","Données standardisées"
"FBS","Bilans Alimentaires","50","Chypre","5142","Nourriture","2731","Viande de Bovins","2013","2013","Milliers de tonnes","7","S","Données standardisées"
"FBS","Bilans Alimentaires","50","Chypre","5142","Nourriture","2732","Viande d'Ovins/Caprins","2013","2013","Milliers de tonnes","6","S","Données standardisées"
"FBS","Bilans Alimentaires","50","Chypre","5142","Nourriture","2733","Viande de Suides","2013","2013","Milliers de tonnes","44","S","Données standardisées"
"FBS","Bilans Alimentaires","50","Chypre","5142","Nourriture","2734","Viande de Volailles","2013","2013","Milliers de tonnes","28","S","Données standardisées"
"FBS","Bilans Alimentaires","50","Chypre","5142","Nourriture","2735","Viande, Autre","2013","2013","Milliers de tonnes","2","S","Données standardisées"
"FBS","Bilans Alimentaires","44","Colombie","5142","Nourriture","2731","Viande de Bovins","2013","2013","Milliers de tonnes","790","S","Données standardisées"
"FBS","Bilans Alimentaires","44","Colombie","5142","Nourriture","2732","Viande d'Ovins/Caprins","2013","2013","Milliers de tonnes","10","S","Données standardisées"
"FBS","Bilans Alimentaires","44","Colombie","5142","Nourriture","2733","Viande de Suides","2013","2013","Milliers de tonnes","314","S","Données standardisées"
"FBS","Bilans Alimentaires","44","Colombie","5142","Nourriture","2734","Viande de Volailles","2013","2013","Milliers de tonnes","1332","S","Données standardisées"
"FBS","Bilans Alimentaires","44","Colombie","5142","Nourriture","2735","Viande, Autre","2013","2013","Milliers de tonnes","7","S","Données standardisées"
"FBS","Bilans Alimentaires","46","Congo","5142","Nourriture","2731","Viande de Bovins","2013","2013","Milliers de tonnes","19","S","Données standardisées"
"FBS","Bilans Alimentaires","46","Congo","5142","Nourriture","2732","Viande d'Ovins/Caprins","2013","2013","Milliers de tonnes","2","S","Données standardisées"
"FBS","Bilans Alimentaires","46","Congo","5142","Nourriture","2733","Viande de Suides","2013","2013","Milliers de tonnes","11","S","Données standardisées"
"FBS","Bilans Alimentaires","46","Congo","5142","Nourriture","2734","Viande de Volailles","2013","2013","Milliers de tonnes","58","S","Données standardisées"
"FBS","Bilans Alimentaires","46","Congo","5142","Nourriture","2735","Viande, Autre","2013","2013","Milliers de tonnes","41","S","Données standardisées"
"FBS","Bilans Alimentaires","48","Costa Rica","5142","Nourriture","2731","Viande de Bovins","2013","2013","Milliers de tonnes","74","S","Données standardisées"
"FBS","Bilans Alimentaires","48","Costa Rica","5142","Nourriture","2732","Viande d'Ovins/Caprins","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","48","Costa Rica","5142","Nourriture","2733","Viande de Suides","2013","2013","Milliers de tonnes","50","S","Données standardisées"
"FBS","Bilans Alimentaires","48","Costa Rica","5142","Nourriture","2734","Viande de Volailles","2013","2013","Milliers de tonnes","119","S","Données standardisées"
"FBS","Bilans Alimentaires","48","Costa Rica","5142","Nourriture","2735","Viande, Autre","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","107","Côte d'Ivoire","5142","Nourriture","2731","Viande de Bovins","2013","2013","Milliers de tonnes","35","S","Données standardisées"
